RunScript;Config;RunId;Output;remainingFractionKiga;remainingFractionPrimary;remainingFractionSecondary;remainingFractionHigher;ShutdownType
run.sh;config_sz1.xml;sz1;output/1.0-1.0-1.0-1.0-strong;1.0;1.0;1.0;1.0;strong
run.sh;config_sz2.xml;sz2;output/1.0-1.0-1.0-0.5-strong;1.0;1.0;1.0;0.5;strong
run.sh;config_sz3.xml;sz3;output/1.0-1.0-1.0-0.0-strong;1.0;1.0;1.0;0.0;strong
run.sh;config_sz4.xml;sz4;output/1.0-1.0-0.5-1.0-strong;1.0;1.0;0.5;1.0;strong
run.sh;config_sz5.xml;sz5;output/1.0-1.0-0.5-0.5-strong;1.0;1.0;0.5;0.5;strong
run.sh;config_sz6.xml;sz6;output/1.0-1.0-0.5-0.0-strong;1.0;1.0;0.5;0.0;strong
run.sh;config_sz7.xml;sz7;output/1.0-1.0-0.0-1.0-strong;1.0;1.0;0.0;1.0;strong
run.sh;config_sz8.xml;sz8;output/1.0-1.0-0.0-0.5-strong;1.0;1.0;0.0;0.5;strong
run.sh;config_sz9.xml;sz9;output/1.0-1.0-0.0-0.0-strong;1.0;1.0;0.0;0.0;strong
run.sh;config_sz10.xml;sz10;output/1.0-0.5-1.0-1.0-strong;1.0;0.5;1.0;1.0;strong
run.sh;config_sz11.xml;sz11;output/1.0-0.5-1.0-0.5-strong;1.0;0.5;1.0;0.5;strong
run.sh;config_sz12.xml;sz12;output/1.0-0.5-1.0-0.0-strong;1.0;0.5;1.0;0.0;strong
run.sh;config_sz13.xml;sz13;output/1.0-0.5-0.5-1.0-strong;1.0;0.5;0.5;1.0;strong
run.sh;config_sz14.xml;sz14;output/1.0-0.5-0.5-0.5-strong;1.0;0.5;0.5;0.5;strong
run.sh;config_sz15.xml;sz15;output/1.0-0.5-0.5-0.0-strong;1.0;0.5;0.5;0.0;strong
run.sh;config_sz16.xml;sz16;output/1.0-0.5-0.0-1.0-strong;1.0;0.5;0.0;1.0;strong
run.sh;config_sz17.xml;sz17;output/1.0-0.5-0.0-0.5-strong;1.0;0.5;0.0;0.5;strong
run.sh;config_sz18.xml;sz18;output/1.0-0.5-0.0-0.0-strong;1.0;0.5;0.0;0.0;strong
run.sh;config_sz19.xml;sz19;output/1.0-0.1-1.0-1.0-strong;1.0;0.1;1.0;1.0;strong
run.sh;config_sz20.xml;sz20;output/1.0-0.1-1.0-0.5-strong;1.0;0.1;1.0;0.5;strong
run.sh;config_sz21.xml;sz21;output/1.0-0.1-1.0-0.0-strong;1.0;0.1;1.0;0.0;strong
run.sh;config_sz22.xml;sz22;output/1.0-0.1-0.5-1.0-strong;1.0;0.1;0.5;1.0;strong
run.sh;config_sz23.xml;sz23;output/1.0-0.1-0.5-0.5-strong;1.0;0.1;0.5;0.5;strong
run.sh;config_sz24.xml;sz24;output/1.0-0.1-0.5-0.0-strong;1.0;0.1;0.5;0.0;strong
run.sh;config_sz25.xml;sz25;output/1.0-0.1-0.0-1.0-strong;1.0;0.1;0.0;1.0;strong
run.sh;config_sz26.xml;sz26;output/1.0-0.1-0.0-0.5-strong;1.0;0.1;0.0;0.5;strong
run.sh;config_sz27.xml;sz27;output/1.0-0.1-0.0-0.0-strong;1.0;0.1;0.0;0.0;strong
run.sh;config_sz28.xml;sz28;output/0.5-1.0-1.0-1.0-strong;0.5;1.0;1.0;1.0;strong
run.sh;config_sz29.xml;sz29;output/0.5-1.0-1.0-0.5-strong;0.5;1.0;1.0;0.5;strong
run.sh;config_sz30.xml;sz30;output/0.5-1.0-1.0-0.0-strong;0.5;1.0;1.0;0.0;strong
run.sh;config_sz31.xml;sz31;output/0.5-1.0-0.5-1.0-strong;0.5;1.0;0.5;1.0;strong
run.sh;config_sz32.xml;sz32;output/0.5-1.0-0.5-0.5-strong;0.5;1.0;0.5;0.5;strong
run.sh;config_sz33.xml;sz33;output/0.5-1.0-0.5-0.0-strong;0.5;1.0;0.5;0.0;strong
run.sh;config_sz34.xml;sz34;output/0.5-1.0-0.0-1.0-strong;0.5;1.0;0.0;1.0;strong
run.sh;config_sz35.xml;sz35;output/0.5-1.0-0.0-0.5-strong;0.5;1.0;0.0;0.5;strong
run.sh;config_sz36.xml;sz36;output/0.5-1.0-0.0-0.0-strong;0.5;1.0;0.0;0.0;strong
run.sh;config_sz37.xml;sz37;output/0.5-0.5-1.0-1.0-strong;0.5;0.5;1.0;1.0;strong
run.sh;config_sz38.xml;sz38;output/0.5-0.5-1.0-0.5-strong;0.5;0.5;1.0;0.5;strong
run.sh;config_sz39.xml;sz39;output/0.5-0.5-1.0-0.0-strong;0.5;0.5;1.0;0.0;strong
run.sh;config_sz40.xml;sz40;output/0.5-0.5-0.5-1.0-strong;0.5;0.5;0.5;1.0;strong
run.sh;config_sz41.xml;sz41;output/0.5-0.5-0.5-0.5-strong;0.5;0.5;0.5;0.5;strong
run.sh;config_sz42.xml;sz42;output/0.5-0.5-0.5-0.0-strong;0.5;0.5;0.5;0.0;strong
run.sh;config_sz43.xml;sz43;output/0.5-0.5-0.0-1.0-strong;0.5;0.5;0.0;1.0;strong
run.sh;config_sz44.xml;sz44;output/0.5-0.5-0.0-0.5-strong;0.5;0.5;0.0;0.5;strong
run.sh;config_sz45.xml;sz45;output/0.5-0.5-0.0-0.0-strong;0.5;0.5;0.0;0.0;strong
run.sh;config_sz46.xml;sz46;output/0.5-0.1-1.0-1.0-strong;0.5;0.1;1.0;1.0;strong
run.sh;config_sz47.xml;sz47;output/0.5-0.1-1.0-0.5-strong;0.5;0.1;1.0;0.5;strong
run.sh;config_sz48.xml;sz48;output/0.5-0.1-1.0-0.0-strong;0.5;0.1;1.0;0.0;strong
run.sh;config_sz49.xml;sz49;output/0.5-0.1-0.5-1.0-strong;0.5;0.1;0.5;1.0;strong
run.sh;config_sz50.xml;sz50;output/0.5-0.1-0.5-0.5-strong;0.5;0.1;0.5;0.5;strong
run.sh;config_sz51.xml;sz51;output/0.5-0.1-0.5-0.0-strong;0.5;0.1;0.5;0.0;strong
run.sh;config_sz52.xml;sz52;output/0.5-0.1-0.0-1.0-strong;0.5;0.1;0.0;1.0;strong
run.sh;config_sz53.xml;sz53;output/0.5-0.1-0.0-0.5-strong;0.5;0.1;0.0;0.5;strong
run.sh;config_sz54.xml;sz54;output/0.5-0.1-0.0-0.0-strong;0.5;0.1;0.0;0.0;strong
run.sh;config_sz55.xml;sz55;output/0.1-1.0-1.0-1.0-strong;0.1;1.0;1.0;1.0;strong
run.sh;config_sz56.xml;sz56;output/0.1-1.0-1.0-0.5-strong;0.1;1.0;1.0;0.5;strong
run.sh;config_sz57.xml;sz57;output/0.1-1.0-1.0-0.0-strong;0.1;1.0;1.0;0.0;strong
run.sh;config_sz58.xml;sz58;output/0.1-1.0-0.5-1.0-strong;0.1;1.0;0.5;1.0;strong
run.sh;config_sz59.xml;sz59;output/0.1-1.0-0.5-0.5-strong;0.1;1.0;0.5;0.5;strong
run.sh;config_sz60.xml;sz60;output/0.1-1.0-0.5-0.0-strong;0.1;1.0;0.5;0.0;strong
run.sh;config_sz61.xml;sz61;output/0.1-1.0-0.0-1.0-strong;0.1;1.0;0.0;1.0;strong
run.sh;config_sz62.xml;sz62;output/0.1-1.0-0.0-0.5-strong;0.1;1.0;0.0;0.5;strong
run.sh;config_sz63.xml;sz63;output/0.1-1.0-0.0-0.0-strong;0.1;1.0;0.0;0.0;strong
run.sh;config_sz64.xml;sz64;output/0.1-0.5-1.0-1.0-strong;0.1;0.5;1.0;1.0;strong
run.sh;config_sz65.xml;sz65;output/0.1-0.5-1.0-0.5-strong;0.1;0.5;1.0;0.5;strong
run.sh;config_sz66.xml;sz66;output/0.1-0.5-1.0-0.0-strong;0.1;0.5;1.0;0.0;strong
run.sh;config_sz67.xml;sz67;output/0.1-0.5-0.5-1.0-strong;0.1;0.5;0.5;1.0;strong
run.sh;config_sz68.xml;sz68;output/0.1-0.5-0.5-0.5-strong;0.1;0.5;0.5;0.5;strong
run.sh;config_sz69.xml;sz69;output/0.1-0.5-0.5-0.0-strong;0.1;0.5;0.5;0.0;strong
run.sh;config_sz70.xml;sz70;output/0.1-0.5-0.0-1.0-strong;0.1;0.5;0.0;1.0;strong
run.sh;config_sz71.xml;sz71;output/0.1-0.5-0.0-0.5-strong;0.1;0.5;0.0;0.5;strong
run.sh;config_sz72.xml;sz72;output/0.1-0.5-0.0-0.0-strong;0.1;0.5;0.0;0.0;strong
run.sh;config_sz73.xml;sz73;output/0.1-0.1-1.0-1.0-strong;0.1;0.1;1.0;1.0;strong
run.sh;config_sz74.xml;sz74;output/0.1-0.1-1.0-0.5-strong;0.1;0.1;1.0;0.5;strong
run.sh;config_sz75.xml;sz75;output/0.1-0.1-1.0-0.0-strong;0.1;0.1;1.0;0.0;strong
run.sh;config_sz76.xml;sz76;output/0.1-0.1-0.5-1.0-strong;0.1;0.1;0.5;1.0;strong
run.sh;config_sz77.xml;sz77;output/0.1-0.1-0.5-0.5-strong;0.1;0.1;0.5;0.5;strong
run.sh;config_sz78.xml;sz78;output/0.1-0.1-0.5-0.0-strong;0.1;0.1;0.5;0.0;strong
run.sh;config_sz79.xml;sz79;output/0.1-0.1-0.0-1.0-strong;0.1;0.1;0.0;1.0;strong
run.sh;config_sz80.xml;sz80;output/0.1-0.1-0.0-0.5-strong;0.1;0.1;0.0;0.5;strong
run.sh;config_sz81.xml;sz81;output/0.1-0.1-0.0-0.0-strong;0.1;0.1;0.0;0.0;strong
run.sh;config_sz82.xml;sz82;output/1.0-1.0-1.0-1.0-weak;1.0;1.0;1.0;1.0;weak
run.sh;config_sz83.xml;sz83;output/1.0-1.0-1.0-0.5-weak;1.0;1.0;1.0;0.5;weak
run.sh;config_sz84.xml;sz84;output/1.0-1.0-1.0-0.0-weak;1.0;1.0;1.0;0.0;weak
run.sh;config_sz85.xml;sz85;output/1.0-1.0-0.5-1.0-weak;1.0;1.0;0.5;1.0;weak
run.sh;config_sz86.xml;sz86;output/1.0-1.0-0.5-0.5-weak;1.0;1.0;0.5;0.5;weak
run.sh;config_sz87.xml;sz87;output/1.0-1.0-0.5-0.0-weak;1.0;1.0;0.5;0.0;weak
run.sh;config_sz88.xml;sz88;output/1.0-1.0-0.0-1.0-weak;1.0;1.0;0.0;1.0;weak
run.sh;config_sz89.xml;sz89;output/1.0-1.0-0.0-0.5-weak;1.0;1.0;0.0;0.5;weak
run.sh;config_sz90.xml;sz90;output/1.0-1.0-0.0-0.0-weak;1.0;1.0;0.0;0.0;weak
run.sh;config_sz91.xml;sz91;output/1.0-0.5-1.0-1.0-weak;1.0;0.5;1.0;1.0;weak
