RunScript;Config;RunId;Output;Close Public Transit;Close Workplaces;End Social Activities;End All Other Activities
snz67.sh;config_snz67.xml;snz67;output/10-1000-1000-20;10;1000;1000;20
snz68.sh;config_snz68.xml;snz68;output/10-1000-1000-30;10;1000;1000;30
snz69.sh;config_snz69.xml;snz69;output/10-1000-10-1000;10;1000;10;1000
snz70.sh;config_snz70.xml;snz70;output/10-1000-10-10;10;1000;10;10
snz71.sh;config_snz71.xml;snz71;output/10-1000-10-20;10;1000;10;20
snz72.sh;config_snz72.xml;snz72;output/10-1000-10-30;10;1000;10;30
snz73.sh;config_snz73.xml;snz73;output/10-1000-20-1000;10;1000;20;1000
snz74.sh;config_snz74.xml;snz74;output/10-1000-20-10;10;1000;20;10
snz75.sh;config_snz75.xml;snz75;output/10-1000-20-20;10;1000;20;20
snz76.sh;config_snz76.xml;snz76;output/10-1000-20-30;10;1000;20;30
snz77.sh;config_snz77.xml;snz77;output/10-1000-30-1000;10;1000;30;1000
snz78.sh;config_snz78.xml;snz78;output/10-1000-30-10;10;1000;30;10
snz79.sh;config_snz79.xml;snz79;output/10-1000-30-20;10;1000;30;20
snz80.sh;config_snz80.xml;snz80;output/10-1000-30-30;10;1000;30;30
snz81.sh;config_snz81.xml;snz81;output/10-10-1000-1000;10;10;1000;1000
snz82.sh;config_snz82.xml;snz82;output/10-10-1000-10;10;10;1000;10
snz83.sh;config_snz83.xml;snz83;output/10-10-1000-20;10;10;1000;20
snz84.sh;config_snz84.xml;snz84;output/10-10-1000-30;10;10;1000;30
snz85.sh;config_snz85.xml;snz85;output/10-10-10-1000;10;10;10;1000
snz86.sh;config_snz86.xml;snz86;output/10-10-10-10;10;10;10;10
snz87.sh;config_snz87.xml;snz87;output/10-10-10-20;10;10;10;20
snz88.sh;config_snz88.xml;snz88;output/10-10-10-30;10;10;10;30
snz89.sh;config_snz89.xml;snz89;output/10-10-20-1000;10;10;20;1000
snz90.sh;config_snz90.xml;snz90;output/10-10-20-10;10;10;20;10
snz91.sh;config_snz91.xml;snz91;output/10-10-20-20;10;10;20;20
snz92.sh;config_snz92.xml;snz92;output/10-10-20-30;10;10;20;30
snz93.sh;config_snz93.xml;snz93;output/10-10-30-1000;10;10;30;1000
snz94.sh;config_snz94.xml;snz94;output/10-10-30-10;10;10;30;10
snz95.sh;config_snz95.xml;snz95;output/10-10-30-20;10;10;30;20
snz96.sh;config_snz96.xml;snz96;output/10-10-30-30;10;10;30;30
snz97.sh;config_snz97.xml;snz97;output/10-20-1000-1000;10;20;1000;1000
snz98.sh;config_snz98.xml;snz98;output/10-20-1000-10;10;20;1000;10
snz99.sh;config_snz99.xml;snz99;output/10-20-1000-20;10;20;1000;20
snz100.sh;config_snz100.xml;snz100;output/10-20-1000-30;10;20;1000;30
snz101.sh;config_snz101.xml;snz101;output/10-20-10-1000;10;20;10;1000
snz102.sh;config_snz102.xml;snz102;output/10-20-10-10;10;20;10;10
snz103.sh;config_snz103.xml;snz103;output/10-20-10-20;10;20;10;20
