scenario,t,y
Near future,1970-01-01 03:45:00,0.9981201222479065
Near future,1970-01-01 04:00:00,0.9982060366422367
Near future,1970-01-01 04:15:00,0.9973119669453064
Near future,1970-01-01 04:30:00,0.9964393863328903
Near future,1970-01-01 04:45:00,0.9939197441069197
Near future,1970-01-01 05:00:00,0.9889167534886507
Near future,1970-01-01 05:15:00,0.9760474157358141
Near future,1970-01-01 05:30:00,0.9513579699731052
Near future,1970-01-01 05:45:00,0.9218789806437071
Near future,1970-01-01 06:00:00,0.9165441220326334
Near future,1970-01-01 06:15:00,0.9244081868561871
Near future,1970-01-01 06:30:00,0.9241714983212246
Near future,1970-01-01 06:45:00,0.9256398584563346
Near future,1970-01-01 07:00:00,0.9263725394108041
Near future,1970-01-01 07:15:00,0.9238416946077154
Near future,1970-01-01 07:30:00,0.9198359098969697
Near future,1970-01-01 07:45:00,0.9146872903589418
Near future,1970-01-01 08:00:00,0.9142936326311998
Near future,1970-01-01 08:15:00,0.9137557930775079
Near future,1970-01-01 08:30:00,0.9134936276212573
Near future,1970-01-01 08:45:00,0.9080712070805435
Near future,1970-01-01 09:00:00,0.9105155950139479
Near future,1970-01-01 09:15:00,0.9136832542814617
Near future,1970-01-01 09:30:00,0.9185558156447704
Near future,1970-01-01 09:45:00,0.9217118939923915
Near future,1970-01-01 10:00:00,0.9202167434301177
Near future,1970-01-01 10:15:00,0.9232022412416191
Near future,1970-01-01 10:30:00,0.9276600405419859
Near future,1970-01-01 10:45:00,0.9235122877529878
Near future,1970-01-01 11:00:00,0.9248957882949248
Near future,1970-01-01 11:15:00,0.9240653513872417
Near future,1970-01-01 11:30:00,0.9225379220937976
Near future,1970-01-01 11:45:00,0.9190854393217801
Near future,1970-01-01 12:00:00,0.9181257127232587
Near future,1970-01-01 12:15:00,0.9181209690836165
Near future,1970-01-01 12:30:00,0.915266735117451
Near future,1970-01-01 12:45:00,0.9141391675316081
Near future,1970-01-01 13:00:00,0.914406803372912
Near future,1970-01-01 13:15:00,0.9134109724382742
Near future,1970-01-01 13:30:00,0.9095954205873169
Near future,1970-01-01 13:45:00,0.9111046874607388
Near future,1970-01-01 14:00:00,0.9096587896718379
Near future,1970-01-01 14:15:00,0.9110106483590287
Near future,1970-01-01 14:30:00,0.9072510598596429
Near future,1970-01-01 14:45:00,0.9075785904408404
Near future,1970-01-01 15:00:00,0.9059142424539872
Near future,1970-01-01 15:15:00,0.9033012729124175
Near future,1970-01-01 15:30:00,0.9034805613825385
Near future,1970-01-01 15:45:00,0.9035379196175716
Near future,1970-01-01 16:00:00,0.9019129532358198
Near future,1970-01-01 16:15:00,0.9023112497670969
Near future,1970-01-01 16:30:00,0.9027680895093438
Near future,1970-01-01 16:45:00,0.9047225887390906
Near future,1970-01-01 17:00:00,0.9054982750210182
Near future,1970-01-01 17:15:00,0.9089497389290486
Near future,1970-01-01 17:30:00,0.9104315677665845
Near future,1970-01-01 17:45:00,0.9092516642083013
Near future,1970-01-01 18:00:00,0.9113253855598771
Near future,1970-01-01 18:15:00,0.9130953305102152
Near future,1970-01-01 18:30:00,0.9149423920125342
Near future,1970-01-01 18:45:00,0.9176842613795493
Near future,1970-01-01 19:00:00,0.9200895745169329
Near future,1970-01-01 19:15:00,0.9186058833903118
Near future,1970-01-01 19:30:00,0.9170072117269027
Near future,1970-01-01 19:45:00,0.9121967838174454
Near future,1970-01-01 20:00:00,0.9169612073668718
Near future,1970-01-01 20:15:00,0.9333831378475523
Near future,1970-01-01 20:30:00,0.9485437882110854
Near future,1970-01-01 20:45:00,0.9596904810298158
Near future,1970-01-01 21:00:00,0.9643573031369641
Near future,1970-01-01 21:15:00,0.9690176369368907
Near future,1970-01-01 21:30:00,0.9714447212367484
Near future,1970-01-01 21:45:00,0.9747094702157892
Near future,1970-01-01 22:00:00,0.9759001635264978
Near future,1970-01-01 22:15:00,0.9771711082006834
Near future,1970-01-01 22:30:00,0.9810807591244836
Near future,1970-01-01 22:45:00,0.9827176955207328
Near future,1970-01-01 23:00:00,0.9827830947045184
Near future,1970-01-01 23:15:00,0.986748673765988
Near future,1970-01-01 23:30:00,0.9887808960341666
Near future,1970-01-01 23:45:00,0.9905579499857572
Mid term,1970-01-01 00:00:00,0.9985390127096717
Mid term,1970-01-01 00:15:00,0.9996286425413207
Mid term,1970-01-01 00:30:00,0.9998738526760396
Mid term,1970-01-01 00:45:00,0.9998636898072587
Mid term,1970-01-01 01:00:00,0.9996672588343988
Mid term,1970-01-01 01:15:00,0.9997697131964556
Mid term,1970-01-01 01:30:00,0.9998065406521537
Mid term,1970-01-01 01:45:00,0.9996461855016054
Mid term,1970-01-01 02:00:00,0.9995649012054713
Mid term,1970-01-01 02:15:00,0.9993472879121135
Mid term,1970-01-01 02:30:00,0.9994098829501668
Mid term,1970-01-01 02:45:00,0.9994523103994827
Mid term,1970-01-01 03:00:00,0.999149880262619
Mid term,1970-01-01 03:15:00,0.9988678422156256
Mid term,1970-01-01 03:30:00,0.9984450142475693
Mid term,1970-01-01 03:45:00,0.9986658854135781
Mid term,1970-01-01 04:00:00,0.9986634573816803
Mid term,1970-01-01 04:15:00,0.9977017138889686
Mid term,1970-01-01 04:30:00,0.996590789786772
Mid term,1970-01-01 04:45:00,0.9949801341859446
