id,x,y,infectedButNotContagious,contagious,showingSymptoms,seriouslySick,critical,recovered
444532101,4591290,5819916,21,25,0,0,0,37
95327301,4609913,5816922,0,0,0,0,0,0
242904301,4606656,5808638,0,0,0,0,0,0
142171001,4581295,5834465,18,22,24,0,0,34
304835201,4601780,5824555,0,0,0,0,0,0
226998001,4588965,5823735,21,25,27,31,0,44
85196901,4573653,5806971,25,29,31,0,0,41
175001701,4598583,5811000,0,0,0,0,0,0
103463101,4643524,5709104,41,45,47,0,0,57
480754901,4499958,5896773,0,0,0,0,0,0
458748801,4532796,5778479,0,0,0,0,0,0
1150301,4573715,5790841,29,33,35,0,0,45
412845001,4607976,5812605,0,0,0,0,0,0
308653601,4600656,5828060,17,21,0,0,0,33
479791901,4634179,5749129,0,0,0,0,0,0
463016801,4542563,5894133,0,0,0,0,0,0
244910301,4608301,5823713,0,0,0,0,0,0
149099901,4575732,5827616,29,33,35,0,0,45
181391301,4599415,5812993,21,25,0,0,0,37
118322601,4622147,5823449,17,21,23,0,0,33
171419801,4551809,5864653,33,37,39,0,0,49
141487401,4581367,5834958,17,21,23,0,0,33
439287601,4593409,5829002,0,0,0,0,0,0
297373101,4590374,5817714,0,0,0,0,0,0
212451001,4597533,5827959,21,25,27,0,0,37
457745401,4553163,5796718,0,0,0,0,0,0
235697301,4593704,5830095,17,21,23,0,0,33
89339901,4569040,5815338,21,25,0,0,0,37
84313601,4573743,5809666,18,22,0,0,0,34
331058201,4595794,5806532,17,21,23,0,0,33
266249901,4593298,5814772,25,29,31,0,0,41
74072301,4574482,5757488,0,0,0,0,0,0
322582901,4592796,5825782,25,29,31,0,0,41
142765901,4584901,5847189,33,37,39,0,0,49
411005201,4582620,5822258,17,21,23,0,0,33
281854201,4596330,5819352,13,17,19,0,0,29
140038301,4575703,5840239,45,49,51,0,0,61
168828101,4650276,5813006,0,0,0,0,0,0
151388201,4585208,5836809,18,22,24,0,0,34
222268201,4599859,5815552,17,21,0,0,0,33
196917801,4580906,5823266,22,26,28,0,0,38
16842301,4611840,5801053,21,25,27,0,0,37
110951401,4670284,5800934,20,24,26,0,0,36
183584001,4594846,5829524,0,0,0,0,0,0
159764201,4528791,5808858,29,33,35,0,0,45
485708201,4548473,5806161,29,33,0,0,0,45
120220401,4672422,5818916,25,29,31,0,0,41
354485701,4605935,5813270,25,29,31,0,0,41
119172201,4621791,5825084,0,0,0,0,0,0
479430001,4636283,5747264,0,0,0,0,0,0
198264901,4593304,5820279,17,21,23,0,0,33
138146701,4649551,5721535,0,0,0,0,0,0
385282901,4601335,5811148,17,21,0,0,0,33
330230901,4600427,5823697,25,29,31,0,0,41
287156301,4605235,5809380,25,29,31,0,0,41
244247101,4602276,5827588,25,29,31,0,0,41
240602801,4591669,5830959,17,21,0,0,0,33
206753001,4594524,5825474,17,21,23,0,0,33
108288101,4579646,5839331,0,0,0,0,0,0
115858801,4618650,5821558,21,25,27,0,0,37
